Name,2025,2024,Year Founded,2023,2022,2021,2020,2009,1999
Achya,9,,2025,,,,,,
Adam (Geva),6513,6333,1983,6226,5955,5837,5596,4157,707
Adura,628,598,1983,563,512,487,492,257,291
Adurayim,28,,2025,,,,,,
Alei (Elei) Zahav,5751,5588,1982,5358,4706,4213,3789,458,355
Alfei Menashe,8631,8645,1983,8671,8586,8622,8650,6718,4410
Almog,349,349,1977,314,313,302,313,153,156
Almon (Anatot),1524,1536,1982,1566,1546,1546,1483,827,672
Amichai,407,362,2018,318,273,232,213,,
Argeman,186,174,1968,171,163,165,163,166,155
Ariel,22273,21711,1978,21395,20606,20516,20535,17559,15100
Asael,216,29,2024,,,,,,
Ateret,797,774,1981,749,693,686,689,763,287
Avigael,164,20,,,,,,,
Avnei Hefetz,2718,2670,N/A,2581,2315,2167,2020,1412,695
Avnet,318,283,1983,270,236,230,207,,
Bar Kochba,75,,2025,,,,,,
Barkan,2292,2280,1981,2271,2160,2084,2038,1359,1080
Bat Ayin,2089,2031,1989,1905,1778,1726,1637,900,572
Beitar Illit,74760,73198,1985,70813,66723,64617,62554,34999,12700
Bekaot,231,227,1972,228,224,230,220,160,144
Bet Arye,6115,5924,1981,5817,5637,5574,5353,3711,2330
Bet Chagla,512,242,,,,,,,
Bet El,6788,6683,1977,6292,5926,5923,6027,5499,3800
Bet Yatir,739,738,1980,,,,,,
Bet Ha'Arava,416,582,1980,538,455,395,348,95,45
Bet Horon,1415,1464,1977,1519,1507,1493,1403,1024,720
Bracha,3390,3318,1982,3190,3039,2883,2741,1533,714
Bruchin,2821,2761,2012,2640,2139,1446,1221,,
Carmei Zur,1126,1123,1984,1124,1123,1145,1138,691,422
Carmel,693,663,1981,613,543,526,511,379,252
Charsha,5,,2025,,,,,,
Dolev,1672,1671,1983,1665,1618,1566,1417,1137,850
Efrat,13502,13571,1980,13571,13329,12873,12269,7183,6230
Einav,1331,1265,1981,1213,1072,1009,975,566,504
Elazar,2870,2893,1975,2845,2701,2612,2614,1837,747
Eli,4790,4697,1984,4531,4409,4378,4191,2928,1730
Elkana,4676,4602,1977,4556,4273,4048,3936,3483,2940
Elon Moreh,2136,2075,1979,1988,1952,1943,1870,1433,1050
Elon (Alon) Shevut,3568,3408,1970,3404,3476,3490,3481,2951,2230
