name,name_hebrew,db_id,type,lat,lon,year_established,district,municipality,category,nearest_settlement
Nof Nesher - Talya Farm,נוף נשר - חוות טליה,300.0,Outpost,31.366039,35.12189,1996,Hebron,Har Hebron,Outpost,Yatir (aka Metzadot Yehuda)
Hanekuda,הנקודה,255.0,Outpost,32.169194,35.318612,1996,Nablus,Shomron,Outpost,Itamar
Har Hemed,הר חמד,257.0,Outpost,32.230107,35.151163,1996,Qalqiliya,Kedumim,Outpost,Kedumim
Nahalat Ami,נחלת עמי,1209.0,Outpost,31.438937,35.033134,1996,Hebron,Har Hebron,Outpost,Otniel
Ma'ale Yisrael,מעלה ישראל,283.0,Outpost,32.115099,35.10414,1997,Salfit,Shomron,Outpost,Barqan
Ahiya,אחיה,224.0,Outpost,32.060513,35.327384,1997,Ramallah,Binyamin,Outpost,Shvut Rachel
Givat Barkai - Mizpe Jericho East,גבעת ברקאי - מצפה יריחו מזרח,291.0,Outpost,31.823026,35.401979,1997,Jericho,Binyamin,Outpost,Mitzpe Jericho
Bat Ayin East,בת עין מזרח,235.0,Outpost,31.65289,35.107815,1998,Bethlehem,Gush Etzion,Outpost,Bat Ayin
Lehavat Yitzhar,להבת יצהר,273.0,Outpost,32.163212,35.246139,1998,Nablus,Shomron,Outpost,Yizhar
Mitzpe Yair,מצפה יאיר,289.0,Outpost,31.383241,35.134714,1998,Hebron,Har Hebron,Outpost,Susiya
Nof Harim,נוף הרים,299.0,Outpost,32.075592,35.27893,1998,Nablus,Binyamin,Outpost,Eli
Givat Hahish,"גבעת החי""ש",246.0,Outpost,31.655233,35.131328,1998,Bethlehem,Gush Etzion,Outpost,Alon Shvut
Bracha A,ברכה א,352.0,Outpost,32.192829,35.254789,1998,Nablus,Shomron,Outpost,Bracha
Yanukh Hill 836,גבעת ינוח 836,241.0,Outpost,32.165477,35.360554,1998,Nablus,Shomron,Outpost,Itamar
Mount Gideon Hill 851,הר גדעון גבעה 851,242.0,Outpost,32.166424,35.337099,1998,Nablus,Shomron,Outpost,Itamar
Gva'ot Olam,גבעות עולם,243.0,Outpost,32.159946,35.351898,1998,Nablus,Shomron,Outpost,Itamar
Givat Harel,גבעת הראל,247.0,Outpost,32.058602,35.274044,1998,Nablus,Binyamin,Outpost,Shilo
Hahar,ההר,252.0,Outpost,32.287291,35.084059,1998,Tul Karem,Shomron,Outpost,Avne Hefez
Adei Ad,עדי עד,306.0,Outpost,32.04018,35.334802,1998,Ramallah,Binyamin,Outpost,Shvut Rachel
Hayovel,היובל,254.0,Outpost,32.070888,35.283895,1998,Nablus,Binyamin,Outpost,Eli
Ahavat Hayim,אהבת חיים,222.0,Outpost,31.957796,35.341201,1999,Ramallah,Binyamin,Outpost,kochav Hashahar
Alonei Shilo,אלוני שילה,226.0,Outpost,32.163411,35.120487,1999,Qalqiliya,Karnei Shomron,Outpost,Karnei Shomron
Arnon Hill 777,גבעת ארנון 777,239.0,Outpost,32.154887,35.368305,1999,Nablus,Shomron,Outpost,Itamar
Ma'ale Hagit,מעלה חגית,282.0,Outpost,31.850959,35.336649,1999,Ramallah,Binyamin,Outpost,Maale Michmash
Sneh Ya'akov,סנה יעקב,304.0,Outpost,32.177646,35.26092,1999,Nablus,Shomron,Outpost,Bracha
Alumot Farm Hill 782,חוות אלומות - גבעה 782,240.0,Outpost,32.159516,35.331865,1999,Nablus,Shomron,Outpost,Itamar
Magen Dan,מגן דן,276.0,Outpost,32.108897,35.020413,1999,Qalqiliya,Elkana,Outpost,Elqana
Shalhevet Farm,אחוזת שלהבת,223.0,Outpost,32.171931,35.222501,1999,Nablus,Shomron,Outpost,Yizhar
Skali's Farm - Porat Yosef,החוה של סקאלי - פורת יוסף,329.0,Outpost,32.216403,35.366319,1999,Nablus,Shomron,Outpost,Elon Moreh
Mor Farm,חוות מור,262.0,Outpost,31.37046,34.968229,1999,Hebron,Har Hebron,Outpost,Tene
Ma'aleh Shlomo,מעלה שלמה,285.0,Outpost,31.949352,35.344796,1999,Ramallah,Binyamin,Outpost,kochav Hashahar
Esh Kodesh,אש קודש,229.0,Outpost,32.064772,35.335783,2000,Ramallah,Binyamin,Outpost,Shvut Rachel
Emek Dotan Farm,מעוז צבי (חוות עמק דותן),281.0,Outpost,32.424023,35.164113,2001,Jenin,Shomron,Outpost,Mevo Dotan
Mitzpe Ha'ai,מצפה העי,288.0,Outpost,31.895618,35.229731,2001,Ramallah,Binyamin,Outpost,Psagot
Tko'a B-C,תקוע ב-ג,318.0,Outpost,31.644457,35.230475,2001,Bethlehem,Gush Etzion,Outpost,Tqoa
Neve Erez,נווה ארז,297.0,Outpost,31.864246,35.310363,2001,Ramallah,Binyamin,Outpost,Maale Michmash
Derech Ha'avot,דרך האבות,250.0,Outpost,31.664842,35.13455,2001,Bethlehem,Gush Etzion,Outpost,Elazar
Yair Farm,חוות יאיר,261.0,Outpost,32.145652,35.105233,2001,Salfit,Shomron,Outpost,Yakir
Mitzpe Kramim,מצפה כרמים,292.0,Outpost,31.958034,35.356661,2001,Ramallah,Binyamin,Outpost,kochav Hashahar
Jabel Artis,ג'בל ע'רטיס,237.0,Outpost,31.940537,35.223137,2001,Ramallah,Beit El,Outpost,Beit El
Mul Nevo Beit Hogla,מול נבו בית חגלה,278.0,Outpost,31.820793,35.506933,2001,Jericho,Jordan Valley,Outpost,Na'ama
Avigayil,אביגיל,221.0,Outpost,31.402505,35.140399,2001,Hebron,Har Hebron,Outpost,Maon
Tkuma Hill 725,גבעת תקומה 725,238.0,Outpost,32.157564,35.238442,2001,Nablus,Shomron,Outpost,Yizhar
Susiya - The Rujm Neighborhood/Givat Hachlil,סוסיא צפון מערב - שכונת הרוג'ום/גבעת חכליל,303.0,Outpost,31.394702,35.109122,2001,Hebron,Har Hebron,Outpost,Susiya
Tzur Shalem,צור שלם,312.0,Outpost,31.605709,35.096885,2001,Hebron,Gush Etzion,Outpost,Karmei Zur
Beit El East,בית אל מזרח,231.0,Outpost,31.946258,35.23168,2001,Ramallah,Beit El,Outpost,Beit El
Heruti,חרותי,266.0,Outpost,31.832577,35.185006,2001,Jerusalem,Binyamin,Outpost,Givat Zeev
Maon Farm,חוות מעון,263.0,Outpost,31.408795,35.15966,2001,Hebron,Har Hebron,Outpost,Ma'on
Yeshuv Hada't,ישוב הדעת - הבית האדום,251.0,Outpost,32.045896,35.340477,2001,Ramallah,Binyamin,Outpost,Shilo
Shaked Farm,חוות שקד,331.0,Outpost,32.162677,35.240127,2002,Nablus,Shomron,Outpost,Yizhar
Kochav Ya'akov West,כוכב יעקב מערב,270.0,Outpost,31.883295,35.233486,2002,Jerusalem,Binyamin,Outpost,Kochav Ya'akov
Karmei Doron,כרמי דורון,272.0,Outpost,32.289348,35.128296,2002,Tul Karem,Shomron,Outpost,Enav
Ma'ale Rehav'am,מעלה רחבעם,284.0,Outpost,31.648737,35.257522,2002,Bethlehem,Gush Etzion,Outpost,Kfar Eldad (Old Nokdim)
Mitzpe Lachish,מצפה לכיש - גבעת הבוסטר,293.0,Outpost,31.496257,34.970185,2002,Hebron,Har Hebron,Outpost,Negohot
Granit Hill Alt. 468,גבעת גרניט נ.ג. 468,328.0,Outpost,31.819604,35.314288,2002,Jerusalem,Binyamin,Outpost,Nofei Prat
Asa'el,עשהאל,309.0,Outpost,31.373761,35.042343,2002,Hebron,Har Hebron,Outpost,Shimaa
Ramat Gilad,רמת גלעד,315.0,Outpost,32.179405,35.112789,2002,Qalqiliya,Karnei Shomron,Outpost,Karnei Shomron
Tko'a D,תקוע ד,319.0,Outpost,31.636487,35.238074,2002,Bethlehem,Gush Etzion,Outpost,Tqoa
Ancient Susiya Synagogue,"ביהכנ""ס העתיק סוסיא",230.0,Outpost,31.406605,35.10361,2002,Hebron,Har Hebron,Outpost,Susiya
Bat Ayin West,בת עין מערב,236.0,Outpost,31.6611,35.092086,2002,Bethlehem,Gush Etzion,Outpost,Bat Ayin
