date,year,month,deaths_cum,deaths_children_cum,injured_cum,injured_children_cum,settler_attacks_cum,verified_killed,verified_injured
2023-10-07,2023,10,3,0,23,1,3,6.0,197.0
2023-10-08,2023,10,13,1,194,1,9,8.0,127.0
2023-10-09,2023,10,15,3,295,34,19,4.0,88.0
2023-10-10,2023,10,19,3,332,39,29,5.0,72.0
2023-10-11,2023,10,26,3,427,62,39,6.0,85.0
2023-10-12,2023,10,33,5,500,81,49,7.0,49.0
2023-10-13,2023,10,43,8,700,92,63,17.0,613.0
2023-10-14,2023,10,54,13,1150,106,67,3.0,13.0
2023-10-15,2023,10,61,15,1173,113,70,2.0,18.0
2023-10-16,2023,10,61,15,1176,113,70,2.0,23.0
2023-10-17,2023,10,61,16,1230,117,82,3.0,54.0
2023-10-18,2023,10,64,18,1264,122,86,4.0,150.0
2023-10-19,2023,10,79,20,1404,129,100,15.0,160.0
2023-10-20,2023,10,88,26,1404,134,102,2.0,88.0
2023-10-21,2023,10,88,27,1658,150,103,2.0,57.0
2023-10-22,2023,10,91,27,1704,157,113,8.0,75.0
2023-10-23,2023,10,95,28,1708,157,120,2.0,12.0
2023-10-24,2023,10,95,28,1803,160,136,1.0,9.0
2023-10-25,2023,10,102,31,1859,160,138,6.0,87.0
2023-10-26,2023,10,103,32,1916,168,146,2.0,31.0
2023-10-27,2023,10,108,33,1970,174,146,4.0,91.0
2023-10-28,2023,10,109,33,2011,180,154,1.0,31.0
2023-10-29,2023,10,115,33,2150,193,167,5.0,74.0
2023-10-30,2023,10,121,33,2158,201,171,7.0,70.0
2023-10-31,2023,10,123,34,2159,201,178,3.0,25.0
2023-11-01,2023,11,128,35,2214,234,186,4.0,29.0
2023-11-02,2023,11,132,41,2221,236,186,9.0,43.0
2023-11-03,2023,11,135,42,2309,239,195,7.0,24.0
2023-11-04,2023,11,136,43,2362,241,198,1.0,14.0
2023-11-05,2023,11,141,43,2386,244,202,5.0,21.0
2023-11-06,2023,11,147,44,2404,248,208,7.0,24.0
2023-11-07,2023,11,150,44,2439,251,218,2.0,24.0
2023-11-08,2023,11,150,44,2461,253,222,1.0,122.0
2023-11-09,2023,11,167,45,2558,253,230,18.0,94.0
2023-11-10,2023,11,168,46,2618,253,233,1.0,6.0
2023-11-11,2023,11,169,46,2630,262,235,2.0,22.0
2023-11-12,2023,11,172,46,2630,267,241,1.0,9.0
2023-11-13,2023,11,173,46,2630,275,241,8.0,27.0
2023-11-14,2023,11,182,46,2654,278,244,2.0,8.0
2023-11-15,2023,11,183,47,2659,279,246,0.0,4.0
2023-11-16,2023,11,186,51,2665,282,248,6.0,28.0
2023-11-17,2023,11,191,51,2688,287,251,2.0,14.0
2023-11-18,2023,11,198,52,2782,347,253,6.0,90.0
2023-11-19,2023,11,200,52,2807,355,254,2.0,25.0
2023-11-20,2023,11,201,52,2815,355,256,2.0,8.0
2023-11-21,2023,11,201,52,2818,355,271,7.0,16.0
2023-11-22,2023,11,209,52,2836,364,277,3.0,38.0
2023-11-23,2023,11,211,54,2874,364,281,2.0,13.0
2023-11-24,2023,11,213,55,2885,364,281,2.0,39.0
2023-11-25,2023,11,215,55,2885,364,281,7.0,46.0
2023-11-26,2023,11,222,58,2995,369,284,1.0,126.0
2023-11-27,2023,11,231,59,3184,496,287,0.0,5.0
2023-11-28,2023,11,232,61,3192,500,287,7.0,36.0
2023-11-29,2023,11,238,63,3224,508,295,0.0,13.0
2023-11-30,2023,11,241,63,3283,509,299,2.0,52.0
2023-12-01,2023,12,241,63,3327,509,302,0.0,44.0
2023-12-02,2023,12,243,65,3368,516,305,3.0,49.0
2023-12-03,2023,12,244,65,3379,520,308,1.0,3.0
2023-12-04,2023,12,246,65,3415,520,314,5.0,37.0
2023-12-05,2023,12,249,65,3427,528,318,1.0,30.0
2023-12-06,2023,12,253,66,3443,530,318,5.0,27.0
2023-12-07,2023,12,256,67,3470,533,320,1.0,35.0
2023-12-08,2023,12,263,68,3489,535,330,6.0,36.0
2023-12-09,2023,12,265,69,3533,535,331,3.0,29.0
2023-12-10,2023,12,265,69,3533,535,331,0.0,9.0
2023-12-11,2023,12,265,69,3574,535,331,0.0,5.0
2023-12-12,2023,12,271,69,3584,541,336,11.0,106.0
2023-12-13,2023,12,271,69,3591,541,343,0.0,5.0
2023-12-14,2023,12,276,70,3605,549,343,0.0,17.0
2023-12-15,2023,12,278,70,3710,552,344,1.0,9.0
2023-12-16,2023,12,278,70,3710,552,344,8.0,10.0
2023-12-17,2023,12,290,73,3710,552,344,1.0,8.0
2023-12-18,2023,12,291,75,3740,561,347,4.0,11.0
2023-12-19,2023,12,291,75,3765,562,351,0.0,20.0
2023-12-20,2023,12,291,75,3771,562,353,2.0,20.0
2023-12-21,2023,12,293,76,3907,575,353,0.0,53.0
2023-12-22,2023,12,293,76,3907,575,353,0.0,8.0
2023-12-23,2023,12,293,76,3907,575,355,0.0,1.0
2023-12-24,2023,12,293,76,3907,575,358,0.0,4.0
2023-12-25,2023,12,293,76,3907,575,361,0.0,11.0
2023-12-26,2023,12,295,77,3909,576,367,2.0,4.0
2023-12-27,2023,12,300,79,3909,576,367,7.0,16.0
2023-12-28,2023,12,304,79,3915,580,370,4.0,33.0
2023-12-29,2023,12,307,79,3925,582,370,2.0,29.0
2023-12-30,2023,12,307,79,3925,582,370,1.0,3.0
2023-12-31,2023,12,307,79,3925,582,370,0.0,27.0
2024-01-01,2024,1,307,79,3925,582,370,0.0,0.0
2024-01-02,2024,1,313,80,4052,593,372,4.0,12.0
2024-01-03,2024,1,313,80,4052,593,376,0.0,30.0
2024-01-04,2024,1,314,80,4052,593,381,1.0,5.0
2024-01-05,2024,1,315,81,4052,604,381,1.0,6.0
2024-01-06,2024,1,322,82,4052,604,381,7.0,10.0
2024-01-07,2024,1,326,84,4052,606,381,4.0,16.0
2024-01-08,2024,1,329,84,4068,614,386,3.0,16.0
2024-01-09,2024,1,330,84,4097,622,391,1.0,19.0
2024-01-10,2024,1,331,84,4148,627,396,1.0,56.0
2024-01-11,2024,1,332,84,4157,630,404,1.0,2.0
2024-01-12,2024,1,333,84,4176,631,413,4.0,3.0
2024-01-13,2024,1,333,84,4176,631,413,0.0,19.0
2024-01-14,2024,1,339,88,4197,635,413,5.0,7.0
2024-01-15,2024,1,344,88,4212,637,421,3.0,19.0
2024-01-16,2024,1,344,88,4215,642,430,0.0,16.0
2024-01-17,2024,1,355,90,4234,643,431,13.0,58.0
2024-01-18,2024,1,357,90,4252,645,433,0.0,13.0
2024-01-19,2024,1,358,91,4310,647,439,1.0,9.0
2024-01-20,2024,1,358,91,4310,647,439,0.0,5.0
2024-01-21,2024,1,358,91,4313,647,441,0.0,6.0
2024-01-22,2024,1,358,91,4334,654,444,1.0,15.0
2024-01-23,2024,1,360,92,4348,656,452,1.0,5.0
2024-01-24,2024,1,360,92,4353,657,456,0.0,4.0
2024-01-25,2024,1,361,92,4354,657,457,1.0,3.0
2024-01-26,2024,1,361,92,4358,657,460,1.0,3.0
2024-01-27,2024,1,361,92,4358,657,460,0.0,0.0
2024-01-28,2024,1,362,92,4366,657,464,0.0,5.0
2024-01-29,2024,1,367,94,4382,660,472,5.0,9.0
2024-01-30,2024,1,370,94,4386,660,477,3.0,1.0
2024-01-31,2024,1,370,94,4387,660,494,0.0,1.0
2024-02-01,2024,2,372,94,4391,661,494,0.0,7.0
2024-02-02,2024,2,372,94,4391,661,495,0.0,2.0
2024-02-03,2024,2,372,94,4391,661,495,0.0,12.0
2024-02-04,2024,2,372,94,4408,669,498,0.0,5.0
2024-02-05,2024,2,373,95,4415,670,506,1.0,2.0
2024-02-06,2024,2,374,96,4417,670,507,1.0,1.0
2024-02-07,2024,2,377,96,4426,670,512,3.0,12.0
2024-02-08,2024,2,383,96,4433,671,514,2.0,19.0
2024-02-09,2024,2,384,97,4443,672,516,1.0,6.0
2024-02-10,2024,2,385,98,4443,672,516,1.0,10.0
2024-02-11,2024,2,385,98,4444,673,516,1.0,1.0
2024-02-12,2024,2,385,98,4444,673,516,1.0,7.0
2024-02-13,2024,2,388,99,4475,686,527,1.0,3.0
2024-02-14,2024,2,388,99,4475,686,532,1.0,20.0
2024-02-15,2024,2,389,100,4499,697,537,0.0,6.0
2024-02-16,2024,2,389,100,4503,698,552,0.0,4.0
2024-02-17,2024,2,389,100,4503,698,552,0.0,2.0
2024-02-18,2024,2,392,100,4503,698,552,3.0,6.0
2024-02-19,2024,2,393,100,4511,699,558,0.0,5.0
2024-02-20,2024,2,393,100,4522,702,561,1.0,2.0
2024-02-21,2024,2,394,100,4528,702,573,1.0,1.0
2024-02-22,2024,2,397,101,4530,702,577,4.0,42.0
2024-02-23,2024,2,399,102,4545,702,583,0.0,10.0
2024-02-24,2024,2,399,102,4545,702,583,0.0,3.0
2024-02-25,2024,2,399,102,4545,702,583,0.0,13.0
2024-02-26,2024,2,400,102,4575,707,586,3.0,4.0
2024-02-27,2024,2,403,102,4590,708,590,2.0,1.0
2024-02-28,2024,2,404,102,4592,708,595,0.0,8.0
2024-02-29,2024,2,406,103,4606,709,601,5.0,9.0
2024-03-01,2024,3,409,103,4611,709,603,0.0,1.0
2024-03-02,2024,3,411,105,4612,710,603,2.0,4.0
2024-03-03,2024,3,411,105,4612,710,603,0.0,1.0
2024-03-04,2024,3,412,106,4623,710,607,2.0,22.0
2024-03-05,2024,3,413,107,4645,712,615,2.0,6.0
2024-03-06,2024,3,415,107,4648,712,622,1.0,8.0
2024-03-07,2024,3,416,107,4658,718,623,0.0,5.0
2024-03-08,2024,3,417,107,4665,718,624,1.0,5.0
2024-03-09,2024,3,417,107,4665,718,624,0.0,3.0
2024-03-10,2024,3,417,107,4665,718,624,0.0,1.0
2024-03-11,2024,3,417,107,4665,718,626,2.0,6.0
